File Name,CID,Status,Size (bytes),Upload Time (s)
Lions Main — Powder.jpeg,QmTU5LpEp2qDBpCiWnZHEDuUK7BES3gm8wNWihn7ShqjAv,success,234738,2.1
upload_log.csv,,failed,1409,0.0
organic_descriptions.json,,failed,30147,0.0
Amanita — Closed hats.jpeg,QmbTBHeByJwUP9JyTo2GcHzj1YwzVww6zXrEDFt3zgdwQ1,success,341798,1.4
Iveta_catalog.original.csv,,failed,3996,0.0
upload_catalog.log,,failed,76278,0.0
product_registry_upload_data.json,,failed,2168,0.0
catalog2.json,,failed,9509,0.0
catalog_images.json,,failed,1326,0.0
Blue Lotus.jpeg,QmT5RC6Q6MRRF3YoDcXmKamKntXT6oSvxk3G2aLDkPc17T,success,324885,2.2
Amanita — Powder.jpeg,QmWwjNvD8HX6WB2TLsxiEhciMJCHRfiZBw9G2wgfqKyPbd,success,294846,1.8
Amanita — Tinctura.jpeg,QmbGrAqeugUxZZxWojavu4rbHdk5XNmSsSv92UV8FKjyHa,success,225431,2.1
Foxes.jpeg,QmNULQzUp3TGVR6mbSEH9WBjbrGGgN3dy6wZF8KYAKNvGa,success,277938,2.0
organic_cid_mapping.json,,failed,1567,0.0
Passion Flower.jpeg,QmbtaSzChNvcjXEZZc3PpMXpcwVjpgQ5v1qfktbNGwuZZa,success,251505,2.0
Amanita — LUX.jpeg,Qmat1agJkdYK5uX8YZoJvQnQ3zzqSaavmzUEhpEfQHD4gz,success,339263,3.2
Cordyseps Militaris.jpeg,QmfYLGvSUq2FEszpyLoyu28PLmeTMXk6zikT3c5W43kshP,success,280615,1.5
Cordyseps Militaris — Powder.jpeg,QmW25vHA9WA78VENPus3A8Zrn45YeFMjVKWLJwfA5CEfSQ,success,255825,1.8
Kora Osiny.jpeg,QmZGLPHZxDJP4VRbZbR8CRBY2widf5wMqMvu3rowhJGvCT,success,294706,1.9
Iveta_catalog.csv,,failed,3149,0.0
Blue Lotus — Tinctura.jpeg,QmeR4vHpCm6eiWnMkJGARA8WLUNc8jWWEq3L5bhJGNfWFW,success,232288,2.1
Amanita — Collapsed hats.jpeg,QmUPHsHyuDHKyVbduvqoooAYShFCSfYgcnEioxNNqgZK2B,success,364827,2.2
catalog1.json,,failed,3564,0.0
active_catalog.json,,failed,9509,0.0
Amanita — Pantera.jpeg,QmQxwESeMcEAc8VcYjd5ZQQwkaubp11vKo3kkJkx8SsTfn,success,280763,1.9
Iveta_catalog_structured.csv,,failed,4014,0.0
Chaga.jpeg,QmaUhzH11vG9aEH9MTpLHaVuBFMDPTXC9AcwcGBVoy2S5c,success,253551,2.1
images_upload_log.csv,,failed,2139,0.0
Lions Main.jpeg,QmXzbH3aeiyYyn5b4YSHe2kvNCQuUXtMngL91MeVjHH3vJ,success,279208,2.3
images_upload_log.json,,failed,6990,0.0
Amanita — 1 level.jpeg,QmYrs5gAMeZEmiFAJnmRcD19rpCpXF52ssMJ6X2oWrxWWj,success,321552,1.6
